((+ 1) 1), nan, -2.9924356243218617
((CB +) (* 0)), nan, -5.210279488860817
((SB +) +), nan, -4.804814380752653
1, -2.6390573296152584, -2.6353412672153427
0, -2.6390573296152584, -3.8383361243593264
+, -2.6390573296152584, -2.778377601363509
*, -2.6390573296152584, -3.2815873000292126
I, -2.6390573296152584, -3.034952986707272
(CB +), nan, -4.496513021098135
(* 0), nan, -3.310889355440396
(+ 1), nan, -2.3300601024286705
((CS (BS +)) (+ 1)), nan, -4.650663700925394
(SB +), nan, -3.3979007324300263
(SB *), nan, -4.091047912989971
SB, -2.6390573296152584, -3.206931061503149
SC, -2.6390573296152584, -3.034952986707272
SS, -2.6390573296152584, -3.034952986707272
((BS +) +), nan, -5.210279488860817
(CS (BS +)), nan, -4.091047912989971
((BS *) *), nan, -4.804814380752653
((BS *) +), nan, -5.210279488860817
(BS +), nan, -3.580222289223981
(BS *), nan, -3.3979007324300263
CS, -2.6390573296152584, -3.007827197746378
CB, -2.6390573296152584, -3.787852683421245
CC, -2.6390573296152584, -3.034952986707272
BC, -2.6390573296152584, -3.034952986707272
BB, -2.6390573296152584, -3.034952986707272
BS, -2.6390573296152584, -3.206931061503149
